Y,X,id,typeKnoop
489397.780000004,124432.68,"14010242",Uitlaat gemengde overstort
487869.440000004,127992.5,"14010625",Uitlaat vuilwater nooduitlaat
488838.129999999,124403.890000001,"14010714",Uitlaat vuilwater nooduitlaat
488940.379999999,121123.940000001,"14010739",(externe) Overstortput
479102.149999997,131272.75,"14011226",(externe) Overstortput
492040.940000004,116655.800000001,"14011613",Uitlaat vuilwater nooduitlaat
483851.7,123633.600000002,"14011685",Uitlaat gemengde overstort
487843.5,112776.399999999,"14011884",Uitlaat vuilwater nooduitlaat
483859.300000001,123625.800000001,"14012248",Overstort met signalering
488506.460000002,126262.100000001,"14012362",Uitlaat vuilwater nooduitlaat
488538.550000001,126234.760000002,"14012683",Uitlaat vuilwater nooduitlaat
484856.680000001,122456.079999998,"14012735",Overstort met signalering
487076.390000003,121555.239999998,"14012746",(externe) Overstortput
488389.58,120807.559999999,"14012896",Uitlaat gemengde overstort
492085.350000004,121762.98,"14012899",Uitlaat vuilwater nooduitlaat
483800.300000001,114739.399999998,"14012933",Uitlaat vuilwater nooduitlaat
487138.900000001,113509.600000001,"14013158",Uitlaat vuilwater nooduitlaat
484841.120000004,122604.0,"14014080",Uitlaat gemengde overstort
488683.309999999,120729.739999998,"14014145",Interne Overstortput
491699.364500004,121905.7663,"14014707",Interne Overstortput
479097.690000001,131273.460000001,"14014814",Uitlaat gemengde overstort
486357.186900001,119520.477699999,"14014998",Interne Overstortput
483888.500000001,115495.600000002,"14014999",Uitlaat vuilwater nooduitlaat
486260.790600002,119321.930799998,"14015175",(externe) Overstortput
484697.899999999,114402.899999999,"14015274",Uitlaat vuilwater nooduitlaat
484600.388599999,120663.767200001,"14015635",(externe) Overstortput
485153.069899998,122336.5625,"14015893",Uitlaat gemengde overstort
486180.329999999,120787.800000001,"14015978",(externe) Overstortput
491756.600000002,130416.699999999,"14016042",Uitlaat vuilwater nooduitlaat
486120.770000001,121655.859999999,"14016181",Uitlaat gemengde overstort
487058.45,120768.800000001,"14016235",Uitlaat gemengde overstort
486205.630000001,121532.850000001,"14016296",(externe) Overstortput
